gene_name	04hrs_postFC	08hrs_postFC	16hrs_postFC	24hrs_postFC	48hrs_postFC
ZEB1	0.67590936679635	0.217479181175007	0	0.417873265631876	1.62878338739155
KDM1A	0	0	0	0	0
DUSP8	66.7084721185736	0	0	50.4383272035991	0
DUSP1	0.774661244093957	0.672119942097092	0	0.661407166724947	0.646571792314863
SALL1	10.4725572073576	4.65865691152092	0	3.10761778228552	0.0327007243805405
DUSP15	3.44446816098696	0	0	0	0
NTRK2	0	0	0	0	0
DUSP3	0.795492297470837	0.880917824354587	0	1.35448933821987	1.38896332696128
ASCL1	1.019099810405	0.919507493450145	0	1.41788607933395	2.10457860317126
EGR2	18.8462042606297	13.5086054871423	0	0	0
CITED1	1.02424688431995	0.629440796356457	0	0.0718451447299996	0.0719593556260146
CDK6	0.897468416139672	0.354107164174912	0	0.62229044045455	0.578623773597223
MKI67	1.15721484180533	1.02287758021321	0	0.675429401666406	0.312467366117332
OLIG1	0.40365924794988	0.242103451647154	0	0.063473585075396	0.0418651436407145
DUSP7	0.993730262644202	0.801123882384976	0	0.586913041488576	0.614782734729186
FOS	0.412188077809298	0.875793465431081	0	0.214837682937226	0.29335580445248
RCOR2	1.1586303550571	0.922306880117212	0	0.53370157465729	0.493665472176773
ZEB2	1.70439958502767	2.58629057592451	0	0.971585634448264	0.263276749590109
DUSP16	0.896302592458735	0.907444453282096	0	1.17601848256798	0.92664890021451
SOX1	0.719320839207517	0.595159729924458	0	0.508791031007649	0.512818280349655
DCX	6.46362869834025	2.6989514359609	0	0.0312976024786076	0.0320067029936368
LHX2	1.00495953256955	1.07061337614652	0	0.902056628970768	0.736259601853211
PPP2R5A	1.37562593121531	1.42196193242265	0	1.17549278520994	1.46888596886314
SOX2	0.820172710170827	0.781839281974958	0	0.753211335204901	0.78115628106296
DUSP4	0.261488397776408	0.234742236957544	0	0.435915834015805	0.422026555947622
RFX4	1.09138520737434	1.00474665304209	0	0.876419308364325	0.790845813837477
ID2	0.786586273930502	0.861376582123296	0	1.93204815704802	2.26881249297332
OLIG2	0.613856343221585	0.438337867982252	0	0.128982539907076	0.103029039171591
ID4	0.48011905102471	0.448244461763104	0	0.177876154452248	0.209638248905842
POU3F2	0.834184114337366	0.759942403680474	0	0.730964707180084	0.572274171322894
NES	0.778774665476452	0.688637885392277	0	0.872587431948518	1.00512357895223
EGFR	1.38258986433793	0.996689135950696	0	0.703937131160188	0.687312506107398
JUN	0.479070459592415	0.479707445440954	0	0.378076569240198	0.396710406939069
HES6	0.11851089954202	0.122848752086625	0	2.58109147880316	1.86288636240551
NCL	0.905262957237859	0.814740292813861	0	0.569297867742788	0.525828800588349
DUSP9	0.410717141428169	0.451255693526105	0	0.0638254269516361	0.637647495817925
SOX8	0.910792238820764	0.592617565864169	0	0.470991594189	0.944884984543851
DUSP6	0.0164058387513521	0.2751960782559	0	0.0355944893466926	0.0140565108668098
UBC	1.2269592794218	1.25531506190964	0	1.56469838805238	2.27541999681726
DUSP10	0.157499525863767	0.164506830271211	0	0.121932728400084	0.518026041538151
DKK1	0.925193767421985	1.03965625217481	0	0.125463006634986	0.054342767264483
DUSP5	0.696083965938317	0.707397552578252	0	0.181755639599839	0.284564852919738
MIAT	0.0912836714634895	0.553131704973495	0	4.35463313123519	6.33825300389968
CASP3	0.679539123217418	0.845576216209261	0	0.555831921839331	0.358040992451044
DUSP18	1.00290401798286	2.47116491040769	0	1.58558623625086	4.96719715662979
DUSP26	1.22178177403416	0.84931048734319	0	0.365766280964917	0.937223271247626
CCND1	0.622251277884743	0.43326378675059	0	0.301528020748151	0.411303639568724
PTEN	1.14949863914978	1.29152103046984	0	1.19866763258082	0.915586165413067
MAP2	0.896616449382378	0.829916679370007	0	0.811333494677616	0.775567107248635
NOTCH1	1.26050257614684	0.773154970513863	0	0.421458796089461	0.706265680979272
DUSP23	0	0	0	0	0
