task 1: 100 random numbers
i	binary	decimal	is_prime	fermat
0	1111001111001011	62411	False	False
1	1101001110011001	54169	False	False
2	1001100110101011	39339	False	False
3	1111100000010101	63509	False	False
4	1011001110101011	45995	False	False
5	1001000101010001	37201	True	True
6	1001100100111001	39225	False	False
7	1100110111000101	52677	False	False
8	1101011100000111	55047	False	False
9	1000101111001001	35785	False	False
10	1110111001011011	61019	False	False
11	1011010000100001	46113	False	False
12	1110100111100111	59879	True	True
13	1000111100111111	36671	True	True
14	1110100110000011	59779	True	True
15	1100101001110111	51831	False	False
16	1111111110100011	65443	False	False
17	1110011000100011	58915	False	False
18	1111101001010011	64083	False	False
19	1011000011011011	45275	False	False
20	1111101111011011	64475	False	False
21	1011101001111101	47741	True	True
22	1100001111000011	50115	False	False
23	1001100111010111	39383	True	True
24	1000101011011001	35545	False	False
25	1001010011111111	38143	False	False
26	1001101010001101	39565	False	False
27	1011111100101101	48941	False	False
28	1010111100111111	44863	False	False
29	1111011100001011	63243	False	False
30	1001101010100011	39587	False	False
31	1011000100100001	45345	False	False
32	1111100101000111	63815	False	False
33	1001000111110001	37361	True	True
34	1010100101001011	43339	False	False
35	1110100000011011	59419	True	True
36	1111000110010011	61843	True	True
37	1110010110010011	58771	True	True
38	1010010010110001	42161	False	False
39	1001001011100111	37607	True	True
40	1101111111001011	57291	False	False
41	1111010010100011	62627	True	True
42	1111110110010011	64915	False	False
43	1100111110000001	53121	False	False
44	1100011110100101	51109	True	True
45	1010000000001101	40973	True	True
46	1001010111100101	38373	False	False
47	1011111111111011	49147	False	False
48	1101001000101111	53807	False	False
49	1010111101001111	44879	True	True
50	1100011001111111	50815	False	False
51	1100000011000101	49349	False	False
52	1110111111000011	61379	True	True
53	1010100111100011	43491	False	False
54	1110000101000111	57671	False	False
55	1011111101111101	49021	False	False
56	1101001000100101	53797	False	False
57	1101101101110011	56179	True	True
58	1100010011001101	50381	False	False
59	1000111110110011	36787	True	True
60	1100101100011101	51997	False	False
61	1110011101001001	59209	True	True
62	1011111100101001	48937	False	False
63	1010111010010111	44695	False	False
64	1000011101101001	34665	False	False
65	1001111000011001	40473	False	False
66	1011000001011101	45149	False	False
67	1011101110100111	48039	False	False
68	1100101111110001	52209	False	False
69	1101010011011011	54491	False	False
70	1111000010111101	61629	False	False
71	1110100111001001	59849	False	False
72	1010100100001011	43275	False	False
73	1111111111010011	65491	False	False
74	1100011010011111	50847	False	False
75	1000000010010001	32913	False	False
76	1110011111010111	59351	True	True
77	1001110001101101	40045	False	False
78	1011101000111001	47673	False	False
79	1000110111000011	36291	False	False
80	1010101101101101	43885	False	False
81	1000111001110011	36467	True	True
82	1000101010010101	35477	False	False
83	1111011001100011	63075	False	False
84	1011000000111011	45115	False	False
85	1001110100101001	40233	False	False
86	1110101000001101	59917	False	False
87	1010000000011001	40985	False	False
88	1100001011010111	49879	False	False
89	1010100101110101	43381	False	False
90	1110000110010101	57749	False	False
91	1100010011001001	50377	True	True
92	1000110000001011	35851	True	True
93	1000111100100001	36641	False	False
94	1010000101101101	41325	False	False
95	1111111001011011	65115	False	False
96	1100001111111011	50171	False	False
97	1000100110011101	35229	False	False
98	1011111110101001	49065	False	False
99	1000010111011111	34271	False	False
primes:	23
false fermat tests:	0

task 2: chance of random prime
digits	randoms_before_prime
16	3
32	1
64	22
