task 1: 100 random numbers
i	binary	decimal	is_prime	fermat
0	1111110101010001	64849	True	True
1	1010000001110111	41079	False	False
2	1011110101110111	48503	False	False
3	1101110010110011	56499	False	False
4	1001010110010001	38289	False	False
5	1110000000010111	57367	True	True
6	1000010100010011	34067	False	False
7	1110110111010011	60883	False	False
8	1010111111011001	45017	False	False
9	1110101110001001	60297	False	False
10	1110001100010101	58133	False	False
11	1110000000010111	57367	True	True
12	1000100011111001	35065	False	False
13	1100111001110101	52853	False	False
14	1000001000111101	33341	False	False
15	1001011001000101	38469	False	False
16	1011000000011001	45081	False	False
17	1100011010010001	50833	True	True
18	1001000100110011	37171	True	True
19	1100111001100001	52833	False	False
20	1101010011001101	54477	False	False
21	1100000010010011	49299	False	False
22	1100111110110101	53173	True	True
23	1000100000101101	34861	False	False
24	1000110110111011	36283	False	False
25	1000001100010001	33553	False	False
26	1011100111101001	47593	False	False
27	1001110010011111	40095	False	False
28	1000111111000111	36807	False	False
29	1010000000101111	41007	False	False
30	1000110001010001	35921	False	False
31	1110011011011111	59103	False	False
32	1100100101000111	51527	False	False
33	1011000111011011	45531	False	False
34	1011100111001011	47563	True	True
35	1011101101000111	47943	False	False
36	1110001100011011	58139	False	False
37	1000101001111001	35449	True	True
38	1000101111101111	35823	False	False
39	1110110011001011	60619	False	False
40	1010100111100011	43491	False	False
41	1101101010010101	55957	False	False
42	1110010001110111	58487	False	False
43	1111111110001101	65421	False	False
44	1100111010001101	52877	False	False
45	1100011001010011	50771	False	False
46	1010101010011111	43679	False	False
47	1001101100001101	39693	False	False
48	1110001100000111	58119	False	False
49	1111100001110111	63607	True	True
50	1000110111111011	36347	False	False
51	1111000100010011	61715	False	False
52	1001111010011101	40605	False	False
53	1101001100010101	54037	True	True
54	1011111101000101	48965	False	False
55	1001111011110011	40691	False	False
56	1110100001011001	59481	False	False
57	1010101011000101	43717	True	True
58	1001111110100011	40867	True	True
59	1010000001011101	41053	False	False
60	1111011111110101	63477	False	False
61	1011101000101011	47659	True	True
62	1001110011011011	40155	False	False
63	1000000001110011	32883	False	False
64	1110110010001011	60555	False	False
65	1101100011010101	55509	False	False
66	1010100001000011	43075	False	False
67	1100111110010011	53139	False	False
68	1100101000000001	51713	True	True
69	1101011010101011	54955	False	False
70	1110110100000111	60679	True	True
71	1110000100111111	57663	False	False
72	1101111010000001	56961	False	False
73	1101111001010011	56915	False	False
74	1110110010000011	60547	False	False
75	1010010101110111	42359	True	True
76	1011111110100101	49061	False	False
77	1110110110011011	60827	False	False
78	1011011100100111	46887	False	False
79	1110011001100001	58977	False	False
80	1100111010100001	52897	False	False
81	1011100101001001	47433	False	False
82	1100011100011111	50975	False	False
83	1110111001100101	61029	False	False
84	1100010111111011	50683	True	True
85	1110011110100101	59301	False	False
86	1000011100001011	34571	False	False
87	1100100100100001	51489	False	False
88	1010001010110111	41655	False	False
89	1101110111110101	56821	True	True
90	1011000100111111	45375	False	False
91	1100100000101111	51247	False	False
92	1000011000001011	34315	False	False
93	1100100100010001	51473	True	True
94	1000000110111011	33211	True	True
95	1110000100101001	57641	True	True
96	1110001111100111	58343	False	False
97	1110111100110111	61239	False	False
98	1111110010001001	64649	False	False
99	1110111101100111	61287	False	False
primes:	21
false fermat tests:	0

task 2: chance of random prime
digits	randoms_before_prime
16	13
32	18
64	47
